product_id,product_name,description,price,category,rating,tags,popularity_score,brand/manufacturer,release_date,was_price,discount,link,image
101,1984,A dystopian novel about totalitarianism,$927.01 ,Book,3.1,"['Dystopian', 'Political', 'Science Fiction']",63,Secker & Warburg,6/8/1949,"$1,126.82 ",17.73,https://www.walker.net/,https://placeimg.com/200/200/any
102,Sparkling Water,Refreshing and fizzy mineral water,$626.58 ,Food,4.1,"['Drink', 'Water', 'Beverage']",352,Beverage Co.,2/15/2021,$729.38 ,14.09,http://ortega.com/,https://dummyimage.com/200x200
103,Smartphone X,Latest model with cutting-edge features,$501.75 ,Electronics,1.3,"['Gadget', 'Smartphone', 'Tech']",841,Tech Corp,9/20/2021,$611.47 ,17.94,https://www.norton.biz/,https://placeimg.com/200/200/any
104,1984,A dystopian novel about totalitarianism,$199.08 ,Book,1.4,"['Dystopian', 'Political', 'Science Fiction']",122,Secker & Warburg,6/8/1949,$245.45 ,18.89,http://www.carroll-werner.com/,https://placekitten.com/200/200
105,Smartphone X,Latest model with cutting-edge features,$483.84 ,Electronics,3.4,"['Gadget', 'Smartphone', 'Tech']",580,Tech Corp,9/20/2021,$521.03 ,7.14,http://www.ortiz-jimenez.com/,https://dummyimage.com/200x200
106,Wooden Desk,Solid wood desk for office or home use,$818.86 ,Furniture,2.2,"['Furniture', 'Office', 'Home']",451,Furniture Co.,8/5/2020,$933.49 ,12.28,https://banks.biz/,https://placeimg.com/200/200/any
107,Wireless Earbuds,High-quality sound in a compact design,$685.78 ,Electronics,4.1,"['Audio', 'Electronics', 'Wireless']",257,Audio Masters,12/1/2021,$691.68 ,0.85,http://www.miller.biz/,https://www.lorempixel.com/200/200
108,Blue Jeans,Classic blue jeans for everyday wear,$325.38 ,Clothing,4.9,"['Apparel', 'Clothing', 'Casual']",805,Denim Co.,6/15/2021,$362.14 ,10.15,https://www.kelly.org/,https://placeimg.com/200/200/any
109,1984,A dystopian novel about totalitarianism,$260.86 ,Book,2.8,"['Dystopian', 'Political', 'Science Fiction']",939,Secker & Warburg,6/8/1949,$288.87 ,9.7,http://www.garrett-diaz.biz/,https://dummyimage.com/200x200
110,Modern Sofa,A comfortable modern sofa for living rooms,$150.19 ,Furniture,3.4,"['Furniture', 'Home', 'Living Room']",885,HomeStyle,3/10/2021,$180.30 ,16.7,http://www.forbes.com/,https://www.lorempixel.com/200/200
111,Organic Almonds,Crunchy and nutritious organic almonds,$11.88 ,Food,2.3,"['Food', 'Organic', 'Snack']",398,Nature's Best,1/10/2022,$12.30 ,3.41,https://www.tran.info/,https://placekitten.com/200/200
112,Organic Almonds,Crunchy and nutritious organic almonds,$382.22 ,Food,2.3,"['Food', 'Organic', 'Snack']",461,Nature's Best,1/10/2022,$436.91 ,12.52,https://www.franco.info/,https://dummyimage.com/200x200
113,Modern Sofa,A comfortable modern sofa for living rooms,$631.47 ,Furniture,3.9,"['Furniture', 'Home', 'Living Room']",817,HomeStyle,3/10/2021,$801.76 ,21.24,http://ross.com/,https://placeimg.com/200/200/any
114,Inception,A mind-bending thriller by Christopher Nolan,$343.28 ,Movie,1.8,"['Thriller', 'Sci-Fi', 'Action']",508,Warner Bros,7/16/2010,$362.47 ,5.29,https://johnson.com/,https://dummyimage.com/200x200
115,Wireless Earbuds,High-quality sound in a compact design,$595.90 ,Electronics,4,"['Audio', 'Electronics', 'Wireless']",456,Audio Masters,12/1/2021,$752.00 ,20.76,http://alexander-rodriguez.com/,https://placeimg.com/200/200/any
